id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
5020,2023-09-12,21,17,16,2,31,2023-09-12 00:00:00.0000,2023-09-12 00:00:00.0000
5021,2023-09-13,3,18,9,21,39,2023-09-13 00:00:00.0000,2023-09-13 00:00:00.0000
5022,2023-09-14,10,5,28,17,8,2023-09-14 00:00:00.0000,2023-09-14 00:00:00.0000
5023,2023-09-15,18,20,9,1,12,2023-09-15 00:00:00.0000,2023-09-15 00:00:00.0000
5024,2023-09-16,38,14,25,23,4,2023-09-16 00:00:00.0000,2023-09-16 00:00:00.0000
5025,2023-09-18,14,36,3,21,23,2023-09-18 00:00:00.0000,2023-09-18 00:00:00.0000
5026,2023-09-19,26,24,39,36,10,2023-09-19 00:00:00.0000,2023-09-19 00:00:00.0000
5027,2023-09-20,20,17,11,6,21,2023-09-20 00:00:00.0000,2023-09-20 00:00:00.0000
5028,2023-09-21,16,4,37,25,1,2023-09-21 00:00:00.0000,2023-09-21 00:00:00.0000
5029,2023-09-22,26,18,32,1,12,2023-09-22 00:00:00.0000,2023-09-22 00:00:00.0000
5030,2023-09-23,26,39,20,35,32,2023-09-23 00:00:00.0000,2023-09-23 00:00:00.0000
5031,2023-09-25,4,25,6,10,38,2023-09-25 00:00:00.0000,2023-09-25 00:00:00.0000
5032,2023-09-26,39,3,28,1,5,2023-09-26 00:00:00.0000,2023-09-26 00:00:00.0000
5033,2023-09-27,14,34,24,15,19,2023-09-27 00:00:00.0000,2023-09-27 00:00:00.0000
5034,2023-09-28,17,19,4,14,11,2023-09-28 00:00:00.0000,2023-09-28 00:00:00.0000
5035,2023-09-29,12,27,39,30,10,2023-09-29 00:00:00.0000,2023-09-29 00:00:00.0000
5036,2023-09-30,20,19,3,21,14,2023-09-30 00:00:00.0000,2023-09-30 00:00:00.0000
5037,2023-10-02,13,1,8,2,37,2023-10-02 00:00:00.0000,2023-10-02 00:00:00.0000
5038,2023-10-03,2,12,13,30,1,2023-10-03 00:00:00.0000,2023-10-03 00:00:00.0000
5039,2023-10-04,19,21,33,38,9,2023-10-04 00:00:00.0000,2023-10-04 00:00:00.0000
5040,2023-10-05,37,18,9,26,12,2023-10-05 00:00:00.0000,2023-10-05 00:00:00.0000
5041,2023-10-06,26,19,29,3,4,2023-10-06 00:00:00.0000,2023-10-06 00:00:00.0000
5042,2023-10-07,35,18,3,26,34,2023-10-07 00:00:00.0000,2023-10-07 00:00:00.0000
5043,2023-10-09,8,29,16,23,13,2023-10-09 00:00:00.0000,2023-10-09 00:00:00.0000
5044,2023-10-10,5,18,3,34,8,2023-10-10 00:00:00.0000,2023-10-10 00:00:00.0000
5045,2023-10-11,32,31,39,35,29,2023-10-11 00:00:00.0000,2023-10-11 00:00:00.0000
