id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
244,2007-12-06,11,39,29,14,32,2007-12-06 00:00:00.0000,2007-12-06 00:00:00.0000
245,2007-12-07,22,28,24,15,16,2007-12-07 00:00:00.0000,2007-12-07 00:00:00.0000
246,2007-12-10,38,7,19,18,2,2007-12-10 00:00:00.0000,2007-12-10 00:00:00.0000
247,2007-12-11,24,21,20,15,35,2007-12-11 00:00:00.0000,2007-12-11 00:00:00.0000
248,2007-12-12,19,36,38,10,27,2007-12-12 00:00:00.0000,2007-12-12 00:00:00.0000
249,2007-12-13,32,22,26,13,7,2007-12-13 00:00:00.0000,2007-12-13 00:00:00.0000
250,2007-12-14,37,14,2,28,15,2007-12-14 00:00:00.0000,2007-12-14 00:00:00.0000
251,2007-12-17,24,2,8,13,26,2007-12-17 00:00:00.0000,2007-12-17 00:00:00.0000
252,2007-12-18,24,30,36,21,7,2007-12-18 00:00:00.0000,2007-12-18 00:00:00.0000
253,2007-12-19,13,39,6,7,27,2007-12-19 00:00:00.0000,2007-12-19 00:00:00.0000
254,2007-12-20,30,24,13,16,29,2007-12-20 00:00:00.0000,2007-12-20 00:00:00.0000
255,2007-12-21,38,30,37,1,2,2007-12-21 00:00:00.0000,2007-12-21 00:00:00.0000
256,2007-12-24,37,19,34,36,31,2007-12-24 00:00:00.0000,2007-12-24 00:00:00.0000
257,2007-12-25,22,28,13,4,2,2007-12-25 00:00:00.0000,2007-12-25 00:00:00.0000
258,2007-12-26,33,11,1,18,20,2007-12-26 00:00:00.0000,2007-12-26 00:00:00.0000
259,2007-12-27,4,3,1,26,19,2007-12-27 00:00:00.0000,2007-12-27 00:00:00.0000
260,2007-12-28,30,14,22,2,1,2007-12-28 00:00:00.0000,2007-12-28 00:00:00.0000
261,2007-12-31,20,25,37,12,11,2007-12-31 00:00:00.0000,2007-12-31 00:00:00.0000
262,2008-01-01,26,35,11,31,37,2008-01-01 00:00:00.0000,2008-01-01 00:00:00.0000
263,2008-01-02,2,9,24,10,30,2008-01-02 00:00:00.0000,2008-01-02 00:00:00.0000
264,2008-01-03,38,33,28,32,18,2008-01-03 00:00:00.0000,2008-01-03 00:00:00.0000
265,2008-01-04,36,17,7,20,28,2008-01-04 00:00:00.0000,2008-01-04 00:00:00.0000
266,2008-01-07,2,11,18,21,19,2008-01-07 00:00:00.0000,2008-01-07 00:00:00.0000
267,2008-01-08,12,1,20,19,35,2008-01-08 00:00:00.0000,2008-01-08 00:00:00.0000
268,2008-01-09,19,4,9,16,29,2008-01-09 00:00:00.0000,2008-01-09 00:00:00.0000
269,2008-01-10,8,39,22,11,1,2008-01-10 00:00:00.0000,2008-01-10 00:00:00.0000
270,2008-01-11,8,30,4,27,32,2008-01-11 00:00:00.0000,2008-01-11 00:00:00.0000
